1750,(122),Borrowed,1750,Returned
,(107),,,
Augt 28,A.3.19,Priors poems,Octr 31,prior's poems
,J.5.1,Rollins ancient Hist. V 6<sup>th</sup>,Novr 9,Rollins ancient Hist. V. 6<sup>th</sup>
,J.4.37,popes Letters Vol. 1<sup>st</sup> on,Octr 31,Popes Letters V. 1<sup>st</sup>
,,profr Shaws order by,,
,,Alexr Shaw,1752,
29,J.1.10,Ormonds Life Vol 1<sup>st</sup> & 2<sup>d</sup>,Augt 24,Ormonds Life V. 1 & 2<sup>d</sup>
,,by And: Shaw,,
Septr 12,J.5.1,Rollins ancient hist. Vol 7<sup>th</sup> & 8<sup>th</sup>,Octr 23,Rollins ancient Hist. V. 7<sup>th</sup> & 8<sup>th</sup>
,F.5.18,Philosoph. transactions V. 1<sup>st</sup>,Jan. 12,philos Transact. Vol 1<sup>st</sup>
,,on profr Shaws order by,,
,,Alexr Shaw,,
Octr 15,J.1.16,Wallisii operum Vol 2<sup>dum</sup> on,Jan. 14,Wallisii operum V. 2<sup>dum.</sup>
,,profr Shaw's order by James Shaw,,
Octr 29,J.5.1,Rollins ancient Hist. V. 9 & 10<sup>th</sup>,Jan. 12,Rollins ancient Hist. V. 9<sup>th</sup> & 10<sup>th</sup>
,J.8.44,Memoirs of a Man of Quality on,Jan. 12,Memoirs of a Man of Quality
,,profr Shaw's order by Alexr Shaw,,
Decr 10,J.6.17,Maclaurins Algebra on profr,Augt 14,Maclaurin's Algebra
,,Shaw's order by James Shaw,,
1751,,,,
Jan. 17,F.3.8,Lock on Hum. Understanding,Augt 14,Lock on hum. Understanding
,,on þe above order by James Shaw,,
febr 8,A.3.32,Senecae opera on profr,feb. 22,Senecae Opera
,,Shaws order by Alexr Shaw,,
Apr 15,E.7.68,"Spectator Vol. 5, on profr",Apr 22,Spectator V. 5<sup>th</sup>
,,Shaws order by Alexr Shaw,,
19,J.5.22,Derhams Astrotheology on,Augt 14,Derhams Astrotheology
,,profr Shaw's order by James Shaw,,
22,E.7.68,Spectator Vol. 1<sup>st</sup> on profr,May 16,Spectator Vol 1<sup>st</sup>
,,Shaw's order by Alexr Shaw,,
30,E.7.68,Spectator Vol. 2<sup>d</sup> on the a-,May 16,Spectator Vol 2<sup>d</sup>
,,bove order by Alexr Shaw,,
May 16,A.3,popes Hom. Odyssee Vol 1<sup>st</sup> on,May 20,Popes Odyssee V 1<sup>st</sup>
,,profr Shaws order by Alexr Shaw,,
17,E.7.29,Master-key to popery 5 V<sup>s</sup> on,May 20,Master-key to popery 3<sup>vs</sup>
,,þe above order by Alexr Shaw,,
20,A.3-,Popes Odyssee Vol 2<sup>d</sup> & 3<sup>d</sup> on,May 22,popes Odyssee Vol 2<sup>d</sup> & 3<sup>d</sup>
,,profr Shaw's order by Alexr Shaw,,
22,A.3.,Popes Odyssee Vol. 4<sup>th</sup> & 5<sup>th</sup> on,Augt. 7,popes Odyssee V. 4<sup>th</sup> & 5<sup>th</sup>
,,the above order by Alexr Shaw,,
Augt 14,A.6.44,Rapins hist of Engd V. 8<sup>th</sup> & 9<sup>th</sup>,Spet. 2,Rapin's hist. V. 8<sup>th</sup> & 9<sup>th</sup>
,J.2.,puffendorfs Law of Nat. on,Nov. 28,Puffendorf's Law of Nat.
,,profr Shaw's order by James Shaw,,
,,,,
