1751,153,Borrowed,1751,Returned
,p. 114,,,
Jan. 22,A.6.17,Cyrus Travels 2 Voll Eng on,feb. 16,Cyrus' Travells 2 V<sup>s</sup>
,,Mr Gregory's order by,,
,,John Ramsay,,
feb. 16,A.6.17,Hibernicus Letters Vol. 1<sup>st</sup> on,Mar 30,Hibernicus' Letters V 1<sup>st</sup>
,,þe above order by John Ramsay,,
22,K.4.7,King on the Origin of Evil on M<sup>r</sup>,Mar 30,King on the Origin of Evil
,,Gregories order by John Ramsay,,
Mar 28,K.3.19,Night Thoughts on Mr Gre-,May 7,Night Thoughts
,,gories order by John Ramsay,,
Apr 4,K.8.15,Herveys Meditations 2 V<sup>s</sup> on,May 28,Hervey's Meditations 2 V<sup>s</sup>
,,Mr Gregorie's order by John Ramsay,,
Octr 25,J.1.,Locks Works Vol 1<sup>st</sup>,Decr 13,Locks Works V. 1<sup>st</sup>
,E.6.12,Swifts Miscellanies V. 1 & 2<sup>d</sup> on M<sup>r</sup>,Nov<sup>r</sup> 9,Swifts Miscellanies V. 1 & 2<sup>d</sup>
,,Gregories order by John Ramsay,,
Nov 9,J.5.22,Derhams Astrotheology,Nov. 18,Derhams Astrotheology
,E.6.12,Swifts Miscellanies V. 3 & 4<sup>th</sup> on,Nov. 18,Swifts Miscellanies V. 3 & 4<sup>th</sup>
,,Mr Gregories order by John Ramsay,,
18,K.6.12,Religious Philosopher V. 1 & 2<sup>d</sup>,Decr 28,Religious philosoph<sup>r</sup> V. 1 & 2<sup>d</sup>
,J.4.20,Nature displayd Vol 2<sup>d</sup> on M<sup>r</sup>,Decr 13,Nature display'd V. 2<sup>d</sup>
,,Gregories order by John Ramsay,,
Dec. 13,J.4.20,Nature displayd Vol 3<sup>d</sup> on the,Jan. 24,Nature display'd V. 3<sup>d</sup>
,,above order by John Ramsay,,
23,F.7.42,Woodwards natural History on,Decr 28,Woodwards natural History
,,Mr Rymers order by John Ramsay,,
28,K.6.12,Religious philosophr V. 3<sup>d</sup> on,Jan. 24,Religious philosopher V. 3<sup>d</sup>
,,Mr Gregories order by John Ramsay,,
1752,,,,
Jan. 29,A.6.42,Extent of þe Human Understanding,Mar 11,Extent of þe Hum. Understanding
,K.7.42,Norris on þe Immortality of þe Soul,Mar 21,Norris on þe Immortality of þe Soul
,,on Mr Rymers order by John Ramsay,,
Feb 14,A.4.,Abercrombies Scots Hist. V 1<sup>st</sup> on,Feb 29,Abercrombies Scots Hist V. 1<sup>st</sup>
,,the above order by John Ramsay,,
Mar 11,E.6.38,Hutchison on Beauty and Virtue on,Apr 24,Hutchison on Beauty & Virtue
,,Mr Gregories order by John Ramsay,,
18,E.5.24,Shaftsburys Characteristicks V. 1 & 3<sup>d</sup>,Apr 24,Shaftsburys Charact. V 1 & 3<sup>d</sup>
,,on Mr Gregories order by John Ramsay,,
Nov. 29,E.6.52,Cicero de Natura Deorum Davisii,Mar 17,Cicero de Natura Deorum Davisii
,E.5.24,Shaftsburys Charact. V. 1<sup>st</sup> & 2<sup>d</sup> on,Jan 25,Shaftsbury's Charact. V. 1 & 2<sup>d</sup>
,,prin. Murisons order by,,
,,John Ramsay,,
1753,,,,
Jan. 16,C.6.41,Bradys Sermons V. 1<sup>st</sup>,feb. 8,Brady's Sermons V. 1<sup>st</sup>
,C.6.4,Clarks Sermons V. 9<sup>th</sup> on pro<sup>r</sup>,feb. 8,Clarks Sermons V. 9<sup>th</sup>
,,Shaws order by,,
,,John Ramsay,,
,,,,
