1751,163,Borrowed,1751,Returned
,p. 113),,,
April 3,A.3.7,Gordons Tacitus Eng V 2<sup>d</sup> on,May 15,Gordon's Tacitus Eng V. 2<sup>d</sup>
,,profr Shaws order by Jo. Smibert,,
Nov<sup>r</sup> 29,K.5.15,Cumberland de Legibus Naturae,feb 4,Cumberland de Legibus
,K.6.5,Baniers Mythology V. 1<sup>st</sup> on,Decr 10,Baniers Mythology V. 1<sup>st</sup>
,,pr. Murisons order by Jo. Smibert,,
Decr 10,K.6.5,Baniers Mythology V. 2<sup>d</sup>,Feb. 17,Banier's Mythology V. 2<sup>d</sup>
13,J.2.7,Pearson on the Creed,Jan. 10,Pearson on þe Creed
,J.4.5,Atterburys Sermons V. 1<sup>st</sup> on,Feb. 4,Atterburys Sermons V. 1<sup>st</sup>
,,prinll Murisons order by Jo. Smibert,,
13,K.6.5,Baniers Mythology V. 3<sup>d</sup>,Feb 17,Banier's Mythology V. 3<sup>d</sup>
,G.2.11,Willets Synopsis Papismi on Pr.,Jan. 10,Willets Synopsis papismi
,,Murisons order by Jo. Smibert,,
21,G.3.30,Le Blanc Theses Theologiae,Jan. 10,Le Blanc Theses Theol.
,C.3.16,Bellarmini Operum Vol. 2<sup>dum</sup>,Jan. 10,Bellarmini OP. V. 2<sup>dum</sup>
,B.4.3,Thomae Aquinates Theologie on,Jan 10,Tho Aquinates Theol.
,,prinll Murisons order by Jo. Smibert,,
1752,,,,
Feb. 4,C.8.9,"Turretines Sermons, French",Feb. 17,Turretines Sermons. Fr.
,K.5.26,Fosters Sermons V. 3 & 4<sup>th</sup>,Feb 17,Foster's Sermons V 3 & 4<sup>th</sup>
,C.6.1,Marshalls Sermons V. 1 & 2<sup>d</sup>,Feb. 17,Marshalls Sermons V. 1 & 2<sup>d</sup>
,K.3.25,Pamphlets V. 7<sup>th</sup> on prin.,Apr 10,pamphlets V. 7<sup>th</sup>
,,Murisons order by Jo. Smibert,,
5,C.6.,Clarks Sermons Vol 10<sup>th</sup> on the,Feb. 17,Clarks Sermons V. 10<sup>th</sup>
,,above order by Jo. Smibert,,
17,E.6.52,Cicero de Natura Deorum Davisii,Apr 10,Cicero de Natura Deorum Dav.
,K.6.5,Baniers Mythology V. 4<sup>th</sup> on prin,Apr 10,Banier's Mythology V. 4<sup>th</sup>
,,Murisons order by Jo. Smibert,,
19,J.6.9,Letters from a painter 2<sup>vs</sup> on,July 6,Letters from a painter 2<sup>vs</sup>
,,order by Jo. Smibert,,
20,H.2.8,Marloratus on Epistolas,Mar 23,Marloratus in Epistolas
,A.3.,Poli Synopsis Crit. V. 4<sup>th</sup> p<sup>t</sup> 2<sup>d</sup> on,Mar 23,poli Synopsis Crit. V 4 pt 2<sup>d</sup>
,,Pr. Murisons order by Jo. Smibert,,
Mar 9,C.6.,Clarks Sermons V. 8<sup>th</sup> on the,Mar 13,Clarks Sermons V. 8<sup>th</sup>
,,above order by Jo. Smibert,,
Apr 13,E.5.24,Shaftsburys Charact. V 2<sup>d</sup> on,Apr 20,Shaftsburys Charact. V. 2<sup>d</sup>
,,prin. Murisons order by Jo. Smibert,,
Decr 12,C.3.24,Cudworths Intellectual System,Mar 16,Cudworth Intellect. System
,K.5.20,Abernethies Sermons 2<sup>vs</sup> on prin.,Jan. 16,Abernethy's Sermons 2<sup>vs</sup>
,,Murisons order by Jo. Smibert,,
18,C.7,Clarks Sermons V. 4<sup>th</sup>,Jan. 16,Clark's Sermons V. 4<sup>th</sup>
,K.5.22,Fosters Sermons V 3<sup>d</sup> on prinll,Mar 14,Fosters Sermons V. 3<sup>d</sup>
,,Murison's order by Jo. Smibert,,
,,,,
