1751,174,Borrowed,,Returned
,p. 125,,,
Nov<sup>r</sup> 19,J.5.1,Rollins ancient Hist. Vol 6<sup>th</sup> on,Decr 26,Rollins ancient Hist V. 6<sup>th</sup>
,,Mr Da. Youngs order by John Millar,,
20,E.6.19,Suetonius Eng Lat. by Clark,Decr 14,Suetonius Eng & Lat.
,J.8.50,Hutchisons Ethicks Eng. on M<sup>r</sup>,Decr 26,Hutchisons Ethicks Eng
,,Jo. Youngs order by John Millar,,
Decr 14,F.3.8,Lock on Hum. Understanding on M<sup>r</sup>,Jan. 25,Lock on hum. Understanding
,,Gregories order by John Millar,,
26,J.5.1,Rollins ancient Hist. Vol 7<sup>th</sup> on M<sup>r</sup>,Jan. 17,Rollins ancient hist. V. 7<sup>th</sup>
,,D. Youngs order by John Millar,,
30,A.4.,Abercrombys Scots History V 1<sup>st</sup> on,Jan. 17,Abercromby's Scots Hist. V. 1<sup>st</sup>
,,Mr Gregories order by John Millar,,
1752,,,,
Jan. 17,E.5.24,Shaftsburys Charact. Vol 2<sup>d</sup>,Feb. 8,Shaftsburys Charact V 2<sup>d</sup>
,A.6.44,Rapins Hist. of Engd V. 1<sup>st</sup> on M<sup>r</sup>,Feb. 18,Rapins Hist. V. 1<sup>st</sup>
,,Jo Youngs order by John Millar,,
25,K.7.25,Watts on þe passions on Mr Gre-,Feb. 29,Watts on þe passions
,,gorie's order by John Millar,,
Feb. 11,J.3.12,Clarks Hom. Iliad V. 2<sup>d</sup> on M<sup>r</sup>,Feb. 29,Clark's Hom. Iliad V. 2<sup>d</sup>
,,Gregories order by John Millar,,
18,A.6.44,Rapins Hist. of Engld V. 2<sup>d</sup> on<sup>r</sup>,Feb 29,Rapins Hist. of Eng<sup>d</sup> V. 2<sup>d</sup>
,,Jo. Youngs order by John Millar,,
29,A.6.44,Rapins Hist. of Engd V. 3<sup>d</sup> on þe,Mar 28,Rapin's Hist. of Eng<sup>d</sup> V. 3<sup>d</sup>
,,above order by John Millar,,
Mar 10,J.4.7,Ray on þe Wisdom of God on M<sup>r</sup>,Mar 21,Ray on þe Wisdom of God
,,Jo Youngs order by John Millar,,
20,J.2.15,puffendorfs Law of Nat. and Nations on,Apr 28,puffendorfs Law of Nat & N<sup>s</sup>
,,Mr Jo. Youngs order by John Millar,,
28,A.6.44,Rapins History of Engd V. 13<sup>th</sup> on,Apr 20,Rapins Hist. of Eng<sup>d</sup> V. 13<sup>th</sup>
,,Mr Jo Youngs order by John Millar,,
Apr 20,A.6.20,Rapins Hist. of Engd V 14<sup>th</sup> & 13<sup>th</sup> on,May 16,Rapin's Hist. of Eng<sup>d</sup> V. 14 & 15
,,þe above order by John Millar,,
28,J.2.15,Puffendorfs Law of Nat. and Nations,May 28,Puffendorfs Law of N. & Nations
,K.3.15,Herveys Meditations 2<sup>vs</sup> on M<sup>r</sup>,May 28,Herveys Meditations 2<sup>vs</sup>
,,Jo. Youngs order by John Millar,,
May 16,J.2,Middletons Life of Cicero V. 1<sup>st</sup> on M<sup>r</sup>,May 28,Meditations Life of Cicero V. 1<sup>st</sup>
,,Jo. Youngs order by John Millar,,
Nov<sup>r</sup> 3,J.5.21,Derhams Physicotheology on M<sup>r</sup>,Decr 5,Derhams physicotheology
,,Gregories order by John Millar,,
4,J.4.16,Campbells Enquiry,Decr 20,Campbells Enquiry
,C.6.29,Prideauxs Connexion V. 1<sup>st</sup> on M<sup>r</sup>,Decr 5,Prideaux's Connexion V. 1<sup>st</sup>
,,Rymers order by John Millar,,
,,,,
