1749,(89),Borrowed,1749,Returned
,(p 45),,,
Nov. 24,J.1.8,Locks Works Vol 1<sup>st</sup> on M<sup>r</sup>,Decr 11,Locks Works Vol. 1<sup>st</sup>
,,Gregorie's order by Wm Reid,,
Decr 11,K.7.15,Watts on þe passions on,Decr 15,Watts on þe passions
,,Mr John Youngs order by Wm Reid,,
15,J.3.7,Hooks Roman History Vol 2<sup>d</sup>,Jan. 15,Hook's Rom. Hist. Vol. 2<sup>d</sup>
,K.5.25,Watts Improvet of the Mind,Jan. 1,Watts Improv<sup>t</sup> of the Mind
,A.5.14,Addisons Works Vol 2<sup>d</sup> on,Jan. 1,Addisons Works Vol 2<sup>d</sup>
1750,,Mr Gregorie's order by Wm Reid,,
Jan. 1,E.6.39,Hutchison on the Passions,Jan 15,Hutchison on þe passions
,A.5.14,Addisons Works Vol 4<sup>th</sup> on M<sup>r</sup>,Jan 29,Addisons Works Vol 4<sup>th</sup>
,,Jo. Youngs order by Wm Reid,,
15,J.2.14,Midletons Life of Cicero Vol 1<sup>st</sup>,Feb<sup>r</sup> 22,Midletons Life of Cicero V. 1<sup>st</sup>
,A.6.17,Travels of Cyrus 2 Voll: on M<sup>r</sup>,Jan. 31,Travels of Cyrus 2 Voll
,,Jo Youngs order by Wm Reid,,
29,J.6.5,Preceptor Vol 1<sup>st</sup> on Mr Grego-,Febr 24,Preceptor Vol. 1<sup>st</sup>
,,ry's order by Willm Reid,,
31,J.1.4,Midletons Life of Cicero Vol. 2<sup>d</sup>,feb 13,Midletons Life of Cicero
,J.3.4,Leonidas on Mr Jo. Youngs,Febr 9,Leonidas
,,order by Willm Reid,(p. 102),
1749,(p. 70),,,
Nov. 25,J.6.3,Female Spectator Vol 4<sup>th</sup> on Mr Gre-,Decr 12,Female Spectator Vol 4<sup>th</sup>
,,gories order by And Hutton,,
Decr 6,J.6.19,Ellis s Voyage to Hudons Bay on,Decr 16,Ellis's Voyage
,,Mr Gregories order by And Hutton,,
12,J.4.7,Ray on þe Wisdom of God on þe Creation,Jan. 23,Ray on þe Wisdom of God
,,on Mr D. Young's order by And Hutton,,
16,J.6.4,Plays Vol 1<sup>st</sup> on Mr Gregories,Jan 4,Plays Vol 1<sup>st</sup>
,,order by And Hutton,,
25,F 5.18,Philosoph Transactions one Vol N<sup>o</sup> 119 &c,Jan. 30,Philosoph. Transactions <sup>N. 119 &c.</sup>
,,on Mr Gregories order by And Hutton,,
1750,,,,
Jan. 4,J.6.3,Female Spectator Vol 3<sup>d</sup> on M<sup>r</sup>,Jan. 12,Female Spectator Vol. 3<sup>d</sup>
,,Gregories order by Andrew Hutton,,
12,J.4.13,Boyles Lectures abridged Vol. 1<sup>st</sup> on,Mar 22,Boyles Lectures Vol 1<sup>st</sup>
,,Mr Gregories order by And. Hutton,,
25,J.5.9,"Homes Jewish Hist. 2 Voll, on",Febr 2,Home's Jewish History 2 Voll.
,,Mr D Youngs order by And Hutton,,
Feb. 6,J.5.13,Hales Experiments,Mar. 2,Hales Experiments
,J.6.1,Pamphlets Vol 36<sup>th</sup> on M<sup>r</sup>,feb. 17,pamphlets Vol. 36<sup>th</sup>
,,D. Youngs order by And. Hutton,,
,,,p. 103,
,,,,
