64,,Dr Flint,Bo(rrowed),
1781,,,,
Apr 27,G5.10,Theophrastus on Stones John Flint,,Theophrastus
May 14,R5.9,Goldsmiths Gre hist 1 2d V John Flint,"""",Goldsmith 1 2d V
June 6,EC.22,Bomane Dictry 10 Vol James Flint,,
20,Q1.11,Hebrew Bible Alexr Stewart for Dr Flint,,
,H7.39,Guys Paraphrase V 1 & 3d J Flint,"""",Guye's paraphrase 1 3V
,R5 1,Groves Mor phi 1 2d J Flint,"""",Grove 1 2d Vol
Augt 8,O.2.13,Lowths Commentary on ye Prophets Alex Stewart for Dr Flint,,
Sept 20,O4.15,Robertsons hist Scot V 1st J Flint,,Robertson V 1st
"""",Q7.25,Harwoods Gr N Test 2 Vol Js Flint,,
Octr 3,N7.24,Robertsons hist Scot V 2 J Flint,,Robertson Vol 2d
24,O3.12,Sulleys Memoirs 1 2d V John Flint,,
28,N4 26,Groves Ser 1 2d Vol J Flint,,
