1799,,Dr John Hill Bo[rrowe]d,,
,A2.9.,German Dictionary 2 vols,,German Dictionary 2 Vol
,D9.I,Elements of Criticism 2 vols --,,Elements of Criticsm 1&2nd v
July 17,Q5.6,Fabula Esop. Burmani,,Fabulae Esop Burmani
,Q5.5.,Tragedi Senecae etc ----,,Traged Senecae etc
,B6.11,Humes Essays 1.2nd Vol,,Humes Essays
Aug 28,C.3.26,Campbells Rhetoric 2 vols,,Cambells Rhetoric 2 Vol
Septr. 10,B.2.3,Encyclopedia Brit. Vol. 5th,,Encyclopedia Brit Vol 5
May 30,O.5.2,Ovidius Burmani 4 vols,,Ovidius Burmmani 4
-,D.3.30,Plautus 2 vols ---,,Plautus asam Delph - 2
-,C1.20,Holyokes Dictionary ----,,Holyokes Dictionary
,O3.12.,Sullys memoirs vol. I,,Sullys memoirs vol Ist
,R5.9,Goldsmiths Grecian Histy 2 vols,,Goldsmiths Gre. History 2 vols
,N5.15.,Catullus ----,,Catullus --- 1 vol
,BB.10.32,Camilla 5 vols ----,,Camilla ---- 5 vols
,M3.5,Journey into Siberia ----,,Journey into Siberia
,,Edin Royal Transactions,Vol 3rd,Transactions Royal Society
,R511,Goldsmiths His England 1.2,,Goldsmiths Eng 1.2
,B6.35,Ketelius,,Ketelius
,D9.13,Popes Iliad vol 1,,Poles Iliad vol 1
,,Edin Transactions vol 1,,
