12,,Dr Hill B[orrowe]d,,
1800,,Biographia Britannica v 5 & 6,,Biograp Britan 5 & 6
,,Modern un. hist. v. 19. 20. 21,,Modern Un. Hist. Vol. 19. 20. 21
,N.,Stillingfleets Works 2d vol,,Stillingfleets Works Vol 2d
,O,History of Italy 3 vols,,Hist. of Italy 3 vols
,L,Clericus Letter Mosis,,Clericus in Mos.
,O,Campbells Lives of Admiral,,Campbells Lives of Adm
,EE.6.1,Watsons Theo. Tracts 6 vols,,Watsons etc 2. 3. 4. 6.
,EE.6.2,Pretymans Ele: Theol. 2 vols,,Pretyman Elements vol. 2d
,EE.4.5,Turners Embassy to Tibet,,Turners Embassy to Tibet
,G.8.5,Watsons Apol,,Watsons Apol
,BB.8.20,Gilpins North Tour 4 vols,,Gilpins Tour 1. 2d 3. 4.
,E.4.35,Potters Aeschylus 2 vols,,Potters Aeschylus vols 1st & 2d
,B.7.25,Ruthfords anc His.,,Ruthfords anc His
,N.6.29,Lowth de sacra poesi Hebr,,Lowth de sacra poesi
,D.4.16,Joness Physiol Disqui.,,Jones Phys Disquis
,B.6.8,Wraxalls Tour,,Wraxalls Tour
,J.5.4,Williams on Nothern Gover 2 vols,,Williams on N. Gorvernment 2 Vols
,H.5.2,Buschings Geograph vol 1,,Bushings Geography
,D.5.33,Gregorys Church History 2 vols for Mr. Small Kilconquhar,,found in the Library
,E.4.25,Pennants Tour vol. 3.,,Pennants Tour
,,Camilla 5 vols,,Camilla 5 Vols
,EE.7.59,Campbells Lect: on Ec: His,,found in
,N.4.4,Bryants Mythology 3 vols,,Bryants Myth 3 vols
,C.1.7,Patrickis Comm. Vol. 1st,,Patricks Com: Vol 1
,B.8.40,Sherlock on Prophecy,,Sherlock on Prophecy
,N.3.2,Stillingfleet,,
x,E.5.19,Bochart Phaleg,,
x,,Maurices Ind antiq 7 vols,,
x,E.7.20,Harmers obser 2 vols,,
